"","Week","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2",1,99.9569871620028,101.127886189289,100.124106677536,101.149036087887,99.8313169681979,100.378352943776,100.48884140112,100.7766234676,101.244396786211,100.12797823933,99.4755235835593,100.492251346944,100.341726103636,102.018953893181,101.914709489203,101.39752380694,100.073360644458,99.6524483458788,99.9443661521539,101.404226997599,99.7626446361681,0,111.828072105528
"3",2,99.9139743240055,102.255772378579,100.248213355071,102.298072175775,99.6626339363958,100.756705887551,100.977682802239,101.553246935199,102.488793572421,100.25595647866,98.9510471671186,100.984502693889,100.683452207273,104.037907786362,103.829418978406,102.79504761388,100.146721288915,99.3048966917576,99.8887323043079,102.808453995198,99.5252892723362,0,123.656144211057
"4",3,99.8709614860083,103.383658567868,100.372320032607,103.447108263662,99.4939509045937,101.135058831327,101.466524203359,102.329870402799,103.733190358632,100.38393471799,98.4265707506779,101.476754040833,101.025178310909,106.056861679543,105.74412846761,104.19257142082,100.220081933373,98.9573450376364,99.8330984564618,104.212680992796,99.2879339085043,0,135.484216316585
"5",4,99.8279486480111,104.511544757157,100.496426710143,104.59614435155,99.3252678727916,101.513411775102,101.955365604479,103.106493870398,104.977587144842,100.51191295732,97.9020943342371,101.969005387777,101.366904414546,108.075815572724,107.658837956813,105.59009522776,100.29344257783,98.6097933835152,99.7774646086157,105.616907990395,99.0505785446724,0,147.312288422113
"6",5,99.7849358100138,105.639430946447,100.620533387678,105.745180439437,99.1565848409895,101.891764718878,102.444207005599,103.883117337998,106.221983931053,100.63989119665,97.3776179177964,102.461256734721,101.708630518182,110.094769465906,109.573547446016,106.9876190347,100.366803222288,98.262241729394,99.7218307607696,107.021134987994,98.8132231808405,0,159.140360527642
"7",6,100.383099330546,107.714574002853,97.568095131699,105.193826006223,99.0863600959831,101.280262885531,102.555925144189,103.383617806941,107.831361989081,101.427059242337,99.6995658420364,102.427115215229,102.066728763243,110.386479997226,109.453706070718,106.035651722783,101.21556026558,98.5429537077516,100.269745497822,108.437323792792,98.7566659936546,0,155.272611093776
"8",7,100.981262851078,109.78971705926,94.51565687572,104.642471573008,99.0161353509768,100.668761052185,102.667643282779,102.884118275885,109.44074004711,102.214227288023,102.021513766276,102.392973695736,102.424827008304,110.678190528546,109.33386469542,105.083684410866,102.064317308872,98.8236656861093,100.817660234874,109.85351259759,98.7001088064686,0,151.404861659911
"9",8,101.57942637161,111.864860115667,91.4632186197409,104.091117139794,98.9459106059704,100.057259218839,102.779361421369,102.384618744828,111.050118105138,103.001395333709,104.343461690516,102.358832176244,102.782925253365,110.969901059866,109.214023320122,104.131717098949,102.913074352164,99.1043776644669,101.365574971926,111.269701402388,98.6435516192827,0,147.537112226045
"10",9,102.177589892142,113.940003172073,88.4107803637618,103.53976270658,98.8756858609641,99.445757385493,102.891079559959,101.885119213772,112.659496163166,103.788563379395,106.665409614756,102.324690656751,103.141023498426,111.261611591186,109.094181944824,103.179749787032,103.761831395457,99.3850896428246,101.913489708978,112.685890207186,98.5869944320967,0,143.66936279218
"11",10,99.2968119930027,105.226734465389,89.69233287757,104.092520672159,89.4291184816053,94.213222185358,102.609384714173,99.6741842950406,107.626140691983,104.082217644604,107.470893298808,99.1307753610175,99.5778928262826,108.14482597199,102.477195738228,98.2368567369222,98.2162312032517,93.0761826153226,90.7221351612893,106.789992077812,89.9680246712575,0,135.899619064689
"12",11,96.4160340938631,96.5134657587045,90.9738853913782,104.645278637739,79.9825511022466,88.980686985223,102.327689868388,97.4632493763096,102.5927852208,104.375871909812,108.276376982859,95.9368600652839,96.014762154139,105.028040352793,95.8602095316325,93.2939636868125,92.6706310110467,86.7672755878207,79.5307806136012,100.894093948438,81.3490549104183,0,128.129875337199
"13",12,93.5352561947235,87.80019705202,92.2554379051865,105.198036603319,70.5359837228878,83.7481517850879,102.045995022602,95.2523144575786,97.5594297496172,104.669526175021,109.08186066691,92.7429447695503,92.4516314819954,101.911254733596,89.2432233250365,88.3510706367028,87.1250308188417,80.4583685603187,68.339426065913,94.9981958190642,72.7300851495792,0,120.360131609709
"14",13,90.6544782955838,79.0869283453355,93.5369904189947,105.750794568898,61.0894163435291,78.5156165849529,101.764300176816,93.0413795388476,92.5260742784341,104.963180440229,109.887344350962,89.5490294738167,88.8885008098518,98.7944691143993,82.6262371184406,83.4081775865931,81.5794306266366,74.1494615328168,57.1480715182248,89.1022976896901,64.11111538874,0,112.590387882218
"15",14,91.4885659963467,80.5361323687362,87.766412821573,103.203873608481,54.9065680006139,71.395362752727,100.48477941436,90.7621529408208,90.381370758181,101.561546253361,108.725915246195,85.8830121423196,81.0554878577356,94.0661031165323,76.5054409660023,81.8091484622264,76.9543273144,68.9670143208072,48.7496118319143,78.4297431963088,56.3794233940849,0,113.26595913883
"16",15,92.3226536971097,81.9853363921369,81.9958352241513,100.656952648064,48.7237196576987,64.2751089205011,99.2052586519044,88.4829263427939,88.2366672379279,98.1599120664938,107.564486141429,82.2169948108225,73.2224749056194,89.3377371186652,70.384644813564,80.2101193378598,72.3292240021633,63.7845671087977,40.3511521456038,67.7571887029275,48.6477313994298,0,113.941530395442
"17",16,93.1567413978726,83.4345404155375,76.2252576267296,98.110031687647,42.5408713147835,57.1548550882752,97.9257378894483,86.2036997447671,86.0919637176748,94.7582778796262,106.403057036662,78.5509774793254,65.3894619535032,84.6093711207982,64.2638486611257,78.6110902134931,67.7041206899266,58.6021198967881,31.9526924592933,57.0846342095461,40.9160394047747,0,114.617101652053
"18",17,93.9908290986355,84.8837444389382,70.4546800293079,95.5631107272298,36.3580229718683,50.0346012560493,96.6462171269923,83.9244731467402,83.9472601974217,91.3566436927585,105.241627931896,74.8849601478283,57.556449001387,79.8810051229312,58.1430525086874,77.0120610891264,63.0790173776899,53.4196726847785,23.5542327729828,46.4120797161648,33.1843474101196,0,115.292672908665
"19",18,94.8249167993984,86.3329484623389,64.6841024318862,93.0161897668127,30.1751746289531,42.9143474238234,95.3666963645363,81.6452465487134,81.8025566771686,87.9550095058908,104.080198827129,71.2189428163311,49.7234360492708,75.1526391250641,52.0222563562491,75.4130319647597,58.4539140654532,48.237225472769,15.1557730866723,35.7395252227834,25.4526554154645,0,115.968244165277
"20",19,96.2324583593781,87.6132188931341,67.3097456790302,92.8368324070895,37.2006926372039,51.2074536630104,93.2695681578405,85.5339564460445,75.7223337682883,86.9207802057828,105.512149928665,74.26280410981,55.3166505527644,80.5513934763192,60.5880297233663,79.1910266439075,65.2753492620977,54.9525161635824,25.774175406221,48.7184760335388,31.4143183397893,0,129.68812184648
"21",20,97.6399999193578,88.8934893239294,69.9353889261741,92.6574750473664,44.2262106454548,59.5005599021974,91.1724399511446,89.4226663433757,69.642110859408,85.8865509056747,106.944101030201,77.3066654032889,60.909865056258,85.9501478275742,69.1538030904836,82.9690213230552,72.0967844587421,61.6678068543958,36.3925777257697,61.6974268442942,37.3759812641141,0,143.407999527683
"22",21,99.0475414793375,90.1737597547246,72.5610321733181,92.4781176876432,51.2517286537056,67.7936661413844,89.0753117444488,93.3113762407068,63.5618879505278,84.8523216055666,108.376052131736,80.3505266967677,66.5030795597516,91.3489021788293,77.7195764576008,86.7470160022029,78.9182196553866,68.3830975452093,47.0109800453184,74.6763776550496,43.3376441884389,0,157.127877208886
"23",22,100.455083039317,91.4540301855199,75.1866754204621,92.2987603279201,58.2772466619564,76.0867723805714,86.978183537753,97.200086138038,57.4816650416475,83.8180923054586,109.808003233272,83.3943879902466,72.0962940632452,96.7476565300843,86.2853498247181,90.5250106813507,85.739654852031,75.0983882360227,57.6293823648671,87.655328465805,49.2993071127637,0,170.847754890089
"24",23,100.13603394693,93.1049831205767,81.9164479392905,92.340317597601,62.750058396897,77.5650148110047,85.899651281443,97.4458220685941,56.8028516897868,85.4158533109361,105.299505502032,84.7302418479892,76.172325333955,96.5153496371346,87.0749660878555,94.3341843162345,86.8993444210322,78.3295024607408,62.054179945326,88.9174863990721,56.8165447106096,0,197.525584785633
"25",24,99.8169848545421,94.7559360556336,88.6462204581189,92.3818748672819,67.2228701318376,79.0432572414379,84.821119025133,97.6915579991501,56.1240383379262,87.0136143164137,100.791007770792,86.0660957057319,80.2483566046647,96.2830427441849,87.8645823509929,98.1433579511183,88.0590339900334,81.5606166854589,66.4789775257848,90.1796443323393,64.3337823084555,0,224.203414681177
"26",25,99.4979357621545,96.4068889906904,95.3759929769474,92.4234321369627,71.6956818667781,80.5214996718712,83.7425867688231,97.9372939297062,55.4452249860655,88.6113753218913,96.2825100395527,87.4019495634746,84.3243878753745,96.0507358512352,88.6541986141303,101.952531586002,89.2187235590346,84.7917309101769,70.9037751062437,91.4418022656065,71.8510199063014,0,250.881244576721
"27",26,99.1788866697669,98.0578419257472,102.105765495776,92.4649894066436,76.1684936017187,81.9997421023044,82.6640545125131,98.1830298602623,54.7664116342048,90.2091363273689,91.774012308313,88.7378034212173,88.4004191460843,95.8184289582855,89.4438148772677,105.761705220886,90.3784131280358,88.022845134895,75.3285726867025,92.7039601988737,79.3682575041473,0,277.559074472264
"28",27,99.1431443919225,98.2543515522502,102.093385433585,94.0755306862393,76.5837934040649,83.0202366417262,83.9418357927102,100.409168988653,58.3738698706376,91.4101959083476,93.9659465497025,90.5852580437753,90.7473080128395,97.5095018412165,90.4086793378919,106.118238782744,91.9245024820496,88.6141691319085,80.2376928594561,94.1123288224925,79.2622848739878,0,252.037627846075
"29",28,99.1074021140781,98.4508611787531,102.081005371393,95.686071965835,76.9990932064112,84.040731181148,85.2196170729073,102.635308117044,61.9813281070703,92.6112554893264,96.1578807910919,92.4327126663332,93.0941968795947,99.2005747241476,91.373543798516,106.474772344602,93.4705918360634,89.205493128922,85.1468130322097,95.5206974461114,79.1563122438283,0,226.516181219885
"30",29,99.0716598362336,98.6473708052561,102.068625309202,97.2966132454307,77.4143930087575,85.0612257205698,86.4973983531044,104.861447245434,65.5887863435031,93.8123150703052,98.3498150324813,94.2801672888912,95.4410857463499,100.891647607079,92.3384082591402,106.83130590646,95.0166811900773,89.7968171259355,90.0559332049633,96.9290660697303,79.0503396136688,0,200.994734593695
"31",30,99.0359175583892,98.843880431759,102.056245247011,98.9071545250264,77.8296928111038,86.0817202599917,87.7751796333015,107.087586373825,69.1962445799358,95.0133746512839,100.541749273871,96.1276219114492,97.7879746131051,102.58272049001,93.3032727197643,107.187839468318,96.5627705440912,90.388141122949,94.9650533777169,98.3374346933491,78.9443669835093,0,175.473287967505
"32",31,99.0001752805447,99.0403900582619,102.04386518482,100.517695804622,78.2449926134501,87.1022147994135,89.0529609134986,109.313725502215,72.8037028163686,96.2144342322627,102.73368351526,97.9750765340071,100.13486347986,104.273793372941,94.2681371803884,107.544373030176,98.108859898105,90.9794651199625,99.8741735504705,99.745803316968,78.8383943533499,0,149.951841341315
"33",32,100.720435594105,99.8948741897143,104.065265634335,101.344605109188,81.565747085201,90.8025715314756,90.0507697029828,106.046221046324,71.7871749536309,96.9799849453146,99.4739993208203,99.1495622241441,101.594434607487,109.65254812707,98.1148932795047,107.085751117982,99.1559682912359,92.2273388260201,100.242663322273,99.2515430166395,83.3694275072349,0,158.497421914805
"34",33,102.440695907666,100.749358321167,106.08666608385,102.171514413755,84.8865015569518,94.5029282635377,91.0485784924671,102.778716590432,70.7706470908933,97.7455356583666,96.2143151263805,100.324047914281,103.054005735114,115.031302881199,101.961649378621,106.627129205788,100.203076684367,93.4752125320778,100.611153094076,98.7572827163109,87.9004606611199,0,167.043002488296
"35",34,104.160956221226,101.603842452619,108.108066533364,102.998423718321,88.2072560287027,98.2032849955999,92.0463872819513,99.5112121345401,69.7541192281557,98.5110863714186,92.9546309319406,101.498533604418,104.51357686274,120.410057635328,105.808405477737,106.168507293594,101.250185077498,94.7230862381354,100.979642865879,98.2630224159824,92.431493815005,0,175.588583061786
"36",35,105.881216534787,102.458326584071,110.129466982879,103.825333022888,91.5280105004535,101.903641727662,93.0441960714355,96.2437076786483,68.7375913654181,99.2766370844705,89.6949467375008,102.673019294555,105.973147990367,125.788812389457,109.655161576853,105.7098853814,102.297293470629,95.970959944193,101.348132637682,97.7687621156539,96.96252696889,0,184.134163635277
"37",36,104.96594772258,103.862428076606,113.585533773293,103.239682016409,91.3379745196295,101.841826163022,92.7001398461697,100.984795008807,69.4564879103247,100.337074175939,92.7004224070228,102.020782053325,105.550209339876,125.800019170768,108.772791817188,106.193704975855,102.805917767095,96.131010243385,101.377738936662,99.5466711169253,96.2667227071653,0,183.382635325063
"38",37,104.050678910373,105.26652956914,117.041600563706,102.65403100993,91.1479385388054,101.780010598383,92.356083620904,105.725882338965,70.1753844552313,101.397511267407,95.7058980765447,101.368544812094,105.127270689385,125.811225952079,107.890422057523,106.67752457031,103.314542063561,96.2910605425771,101.407345235643,101.324580118197,95.5709184454405,0,182.63110701485
"39",38,103.135410098167,106.670631061675,120.49766735412,102.068380003451,90.9579025579813,101.718195033743,92.0120273956382,110.466969669123,70.8942810001379,102.457948358875,98.7113737460667,100.716307570863,104.704332038894,125.82243273339,107.008052297859,107.161344164766,103.823166360027,96.4511108417691,101.436951534624,103.102489119468,94.8751141837158,0,181.879578704637
"40",39,102.22014128596,108.074732554209,123.953734144534,101.482728996972,90.7678665771573,101.656379469103,91.6679711703724,115.208056999282,71.6131775450445,103.518385450342,101.716849415589,100.064070329633,104.281393388403,125.8336395147,106.125682538194,107.645163759221,104.331790656493,96.6111611409611,101.466557833604,104.88039812074,94.179309921991,0,181.128050394423
"41",40,102.500251732125,106.794089937153,127.640799191119,102.25101020568,90.3331780555972,101.237838314809,92.2885975630526,118.322071777207,69.9994224906394,104.24360305601,100.199375541552,100.640108110517,104.168890302608,125.567127779188,106.31703292417,107.609226175794,104.907415080602,97.0873782585594,102.780266742075,103.364123405736,94.0668485288493,0,154.85824203308
"42",41,102.78036217829,105.513447320097,131.327864237704,103.019291414389,89.8984895340371,100.819297160514,92.9092239557327,121.436086555131,68.3856674362343,104.968820661678,98.6819016675156,101.216145891401,104.056387216813,125.300616043675,106.508383310147,107.573288592367,105.48303950471,97.5635953761576,104.093975650546,101.847848690733,93.9543871357076,0,128.588433671737
"43",42,103.060472624455,104.232804703042,135.014929284289,103.787572623097,89.463801012477,100.40075600622,93.5298503484128,124.550101333056,66.7719123818292,105.694038267346,97.1644277934791,101.792183672285,103.943884131018,125.034104308163,106.699733696124,107.537351008939,106.058663928819,98.0398124937558,105.407684559016,100.331573975729,93.8419257425658,0,102.318625310394
"44",43,103.34058307062,102.952162085986,138.701994330873,104.555853831805,89.0291124909169,99.9822148519255,94.1504767410929,127.664116110981,65.1581573274241,106.419255873014,95.6469539194426,102.368221453169,103.831381045223,124.76759257265,106.891084082101,107.501413425512,106.634288352927,98.5160296113541,106.721393467487,98.815299260726,93.7294643494241,0,76.0488169490508
"45",44,103.620693516784,101.67151946893,142.389059377458,105.324135040513,88.5944239693568,99.563673697631,94.7711031337731,130.778130888906,63.544402273019,107.144473478682,94.1294800454061,102.944259234053,103.718877959429,124.501080837137,107.082434468077,107.465475842085,107.209912777036,98.9922467289523,108.035102375957,97.2990245457226,93.6170029562824,0,49.7790085877076
"46",45,104.957887188038,100.842774692981,143.706230173917,105.642129935067,88.5235686838161,100.77652313365,95.642049419781,127.355053808455,65.395980159649,108.712706158872,95.2510385866349,103.742108949295,105.060012186026,125.920297920881,108.940812655425,109.301305270598,108.262781158556,99.5785180108009,109.2064048034,96.1260169652319,94.7899601885295,0,68.8921903642788
"47",46,106.295080859292,100.014029917032,145.023400970376,105.960124829621,88.4527133982755,101.98937256967,96.5129957057888,123.931976728004,67.2475580462791,110.280938839062,96.3725971278639,104.539958664538,106.401146412623,127.339515004624,110.799190842772,111.137134699112,109.315649540075,100.16478929265,110.377707230842,94.9530093847412,95.9629174207766,0,88.00537214085
"48",47,107.632274530546,99.1852851410831,146.340571766835,106.278119724175,88.3818581127348,103.202222005689,97.3839419917967,120.508899647553,69.0991359329091,111.849171519253,97.4941556690927,105.33780837978,107.74228063922,128.758732088368,112.65756903012,112.972964127625,110.368517921595,100.751060574498,111.549009658284,93.7800018042505,97.1358746530236,0,107.118553917421
"49",48,108.9694682018,98.3565403651341,147.657742563294,106.596114618729,88.3110028271941,104.415071441708,98.2548882778046,117.085822567102,70.9507138195391,113.417404199443,98.6157142103216,106.135658095022,109.083414865817,130.177949172112,114.515947217467,114.808793556138,111.421386303115,101.337331856347,112.720312085727,92.6069942237598,98.3088318852707,0,126.231735693992
"50",49,107.742904519816,97.29188113059,140.42658825552,106.291830316973,88.3313715421336,104.026966816347,98.1806902453829,112.373548264432,72.2843790518285,112.489769279512,97.3307059749368,105.666719235557,108.062522158918,127.675337109643,115.357599565394,114.500321064797,110.413064923514,100.495529761255,111.26939144867,94.5847336450653,97.7370721776016,0,132.27874048111
"51",50,106.516340837833,96.2272218960459,133.195433947747,105.987546015217,88.351740257073,103.638862190986,98.1064922129612,107.661273961762,73.6180442841178,111.562134359581,96.045697739552,105.197780376092,107.04162945202,125.172725047174,116.199251913322,114.191848573455,109.404743543913,99.6537276661623,109.818470811614,96.5624730663707,97.1653124699326,0,138.325745268227
"52",51,105.289777155849,95.1625626615017,125.964279639974,105.683261713461,88.3721089720125,103.250757565625,98.0322941805396,102.948999659092,74.9517095164071,110.634499439649,94.7606895041672,104.728841516628,106.020736745122,122.670112984705,117.040904261249,113.883376082114,108.396422164312,98.81192557107,108.367550174558,98.5402124876762,96.5935527622635,0,144.372750055344
"53",52,104.063213473865,94.0979034269576,118.733125332201,105.378977411705,88.3924776869519,102.862652940264,97.9580961481179,98.2367253564219,76.2853747486964,109.706864519718,93.4756812687824,104.259902657163,104.999844038224,120.167500922236,117.882556609176,113.574903590772,107.388100784711,97.9701234759777,106.916629537502,100.517951908982,96.0217930545944,0,150.419754842461
"54",53,102.836649791882,93.0332441924135,111.501971024428,105.074693109949,88.4128464018914,102.474548314902,97.8838981156963,93.5244510537518,77.6190399809857,108.779229599787,92.1906730333976,103.790963797698,103.978951331325,117.664888859768,118.724208957104,113.26643109943,106.37977940511,97.1283213808855,105.465708900445,102.495691330287,95.4500333469253,0,156.466759629579
